med_code_id,observations,emis_description,snomed_ct_concept_id
a63055014,4000000,Migraine,b37796009
a7596016,300000,Migraine with typical aura,b230462002
a297356014,200000,Migraine NOS,37796009
a7595017,60000,Migraine with aura,b4473006
a93295014,50000,Common migraine,56097005
a98501012,50000,Hemiplegic migraine,b59292006
a158460019,30000,Ophthalmic migraine,b95655001
a126030010,30000,Abdominal migraine,b75879005
a221281000000113,30000,Menstrual migraine,b23186000
a93294013,20000,Migraine without aura,b56097005
a93296010,20000,Atypical migraine,56097005
a297354012,10000,Complicated migraine,b193039006
a138248010,8000,Basilar migraine,b83351003
a297336013,6000,Common migraine NOS,56097005
a82623012,2000,Ophthalmoplegic migraine,b49605003
a317576014,2000,[D]Abdominal migraine,75879005
a2570161000006115,300,Classical migraine,4473006
a1746951000000114,300,Migraine induced by oestrogen contraceptive,781381000000100
a5034261000006115,80,Vestibular migraine,232284007
a4060381000006114,60,Ocular migraine,95655001
a5008291000006112,40,Migraine aura without headache,b230465000
a3789081000006119,30,Retinal migraine,b79267007
a4769891000006114,30,Neuralgic migraine,193031009
a7520391000006114,30,Migraine with persistent visual aura,b699314009
a3856501000006116,20,Vertebrobasilar migraine,83351003
a700211000006115,10,Moebius' ophthalmoplegic migraine,49605003
a4769931000006117,7,Complex migraine,193039006
a4060391000006112,7,Familial hemiplegic migraine,b95656000
a7016071000006117,3,Refractory migraine,b423894005
a5008311000006111,3,Acephalgic migraine,230465000
a5008351000006112,2,Migraine with ischemic complication,b230468003
a7073611000006119,2,Transformed migraine,b427419006
